LON,LAT,EDO,CLAVE,ESTACION,dic-18
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",55.7
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",63
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",63
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",53.11
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",9.15
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",20.7
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",22.9
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",42.4
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",49.5
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",14.6
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",39
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",2
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",34.8
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.5
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",14
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",86.4
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.6
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",1
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",27
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",8.4
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",43.6
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",1.6
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",49
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",18
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",15
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",45.4
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",11.7
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",46
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",83
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",0
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",1.53
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",22
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",0.02
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",30
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",33.83
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",14.22
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",25.6
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",0
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",16.2
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",16.1
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",49
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",21.7
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",3.1
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",49.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",7
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",17.5
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",77
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",90.91
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",48.02
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",6
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",42.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",19.5
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",26.5
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",35.9
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",2.81
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",14.23
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",16
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",49.9
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",4.5
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",36.51
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",26
-105.382222,27.576389,CHIH,Colina,"Colina, Chih. SGT*",34.75
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",16.21
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",3.51
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",52
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",60.7
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",82.8
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",88
-108.427222,30.838889,CHIH,Janos,"Janos, Chih. SMN*",34.8
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",7.6
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",10.7
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",12.83
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",27.02
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",12.19
-106.486111,28.803333,CHIH,Majalca,"Cumbres de Majalca, Chih. SMN*",25.4
-104.43,29.583333,CHIH,OjinagaC,"Ojinaga Río Conchos, Chih. CILA*",16.75
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",21.5
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",72.01
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",61.81
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",16.21
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",58.8
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",73.32
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",19.5
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",32.2
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",30.7
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",13
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",82.2
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",72.02
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",45.5
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",52
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",0
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",8.8
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",281
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",4
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",0.01
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",1.9
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",0
-91.949722,17.85,CHIS,CATAZAJA,"Catazajá, Chis. SGT*",52.6
-93.117222,16.757778,CHIS,CENTRO2APTE,"Centro Segunda Poniente, Chis. SGT*",0.1
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",61.2
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayabé, Chis. SGT*",156.7
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",17
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",0.01
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",2.2
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",2.6
-93.15,16.730556,CHIS,CRISTALTV,"Cristal TV Azteca, Chis. SGT*",0.2
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",19.5
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",5
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",25.6
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",2.2
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",393.9
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",0
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",51.7
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",3.8
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",212.5
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",0.01
-93.28,17.96,CHIS,MACAYOMI,"Macayo Margen Izquierda, Chis. SGT*",0
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",65.6
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",1.2
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",2
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",157.5
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",60.4
-93.087778,16.760278,CHIS,PARQUEOTE,"Parque Oriente, Chis. SGT*",0.9
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",0.21
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",197.22
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",0
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",4.4
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",104.5
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",3.1
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",79.5
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",0.5
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",112.2
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",222.21
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",3.7
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",3.82
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",0
-93.1,16.786111,CHIS,SECTEC103,"Secundaria Técnica 103, Chis. SGT*",0.3
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",52.5
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",215.5
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",0.01
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",81.1
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",16.1
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",6.8
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",0.6
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",0
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",0
-93.248056,16.253889,CHIS,VILLAFLORES,"Villaflores, Chis. SGT*",23.9
-92.147222,15.091111,CHIS,VTACANA,"Volcán Tacaná, Chis. SMN*",61.2
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",18.4
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",28
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",4.1
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",37.6
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",13.03
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",39.5
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",15.21
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",37.01
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",45
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",13.41
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",28.8
-100.954444,29.329167,COAH,LasVacasC,"Las Vacas Ciudad Acuña, Coah. CILA*",22.8
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",0
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",23.8
-100.566667,28.683056,COAH,PNEGRASob,"Observatorio de Piedras Negras, Coah. SMN*",21.8
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",24.2
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",25.01
-100.556944,28.667778,COAH,RioEscondidoC,"Río Escondido Villa de Fuentes, Coah. CILA*",19.25
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",28
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",20.3
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jiménez, Coah. CILA*",51.5
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",17.52
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",39
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",37.2
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",8.42
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",20.2
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",17.22
-103.45,25.533333,COAH,TORREONob,"Observatorio de Torreón, Coah. SMN*",11.4
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",22
-103.613333,19.249722,COL,BVSCM,"Buenavista, Col.",0
-103.726389,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",1
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",0
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",0
-103.720833,19.218333,COL,CMDCM,"Observatorio de Colima, Col.",0
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0.01
-103.733333,19.233333,COL,COLIMAob,"Observatorio de Colima, Col. SMN*",0
-103.809167,19.204722,COL,CQMCM,"Coquimatlán, Col.",0
-103.884167,19.112222,COL,DJLCM,"Presa derivadora Gregorio T. Q. Jala, Col.",0
-114.733611,18.348611,COL,ICLARIONmar,"Isla Clarión, Col. SEMAR*",0.51
-103.868056,19.171667,COL,LAECM,"La Esperanza, Col.",0
-103.773889,18.803056,COL,LDACM,"Laguna de Amela, Col.",0
-104.318611,19.044167,COL,MNZCM,"Observatorio de Manzanillo, Col.",0
-103.8125,19.3275,COL,PNTCM,"Presa derivadora Peñitas, Col.",0
-104.1,18.936111,COL,RDRCM,"Radar, Col.",0
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",0
-103.855833,18.908056,COL,TCMCM,"Tecomán, Col.",0.01
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",0
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",17.27
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias Biológicas IPN, Cd. de Méx. SMN*",0.25
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",2.03
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",0.51
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",7.11
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",18.51
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",2.27
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",6.86
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",30.48
-99.196389,19.403611,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",14.8
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",3.81
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",4.32
-99.205556,19.304722,DF,DATDF,"Desviación Alta, Cd. de Méx.",0
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",10.67
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",0.75
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",2.79
-99.203889,19.271389,DF,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de Méx. SMN*",10.2
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",0.5
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",8.89
-99.091667,19.478056,DF,GCNDF,"km 6+250 del Gran Canal, Cd. de Méx.",2.5
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",6.09
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos El Moral, Cd. de Méx.",3.56
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de Méx.",1.27
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de Méx.",0
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",9.4
-99.021944,19.190556,DF,MLPDF,"Milpa Alta, Cd. de Méx.",0
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo Mezontepec, Cd. de Méx.",23.12
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de México Sur, Cd. de Méx.",6.1
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",1.52
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",2.03
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",4.83
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",1.78
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",5.08
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",3.3
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",1.78
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",7.37
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",1.78
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",24.13
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",0.76
-99.264722,19.288611,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",3.55
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",12.7
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",0.51
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",2.29
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",14.73
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",14.73
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",4.82
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",24.38
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",0.25
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",1.52
-99.17,19.4,DF,RCMDF,"Radiocomunicación, Cd. de Méx.",1.78
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",1.02
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de Méx.",13.71
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora Santa Cruz Meyehualco, Cd. de Méx.",0.51
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",0
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",3
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",3.81
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",0
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",2.54
-99.220833,19.337778,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",0.51
-99.099722,19.385,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",7.11
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",20.83
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",0
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",2.79
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",7.62
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",1.02
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",6.1
-99.264444,19.359722,DF,TSLDF,"Santa Fe Santa Lucía, Cd. de Méx.",10.16
-98.970833,19.210278,DF,TTLDF,"Tetelco, Cd. de Méx.",3.05
-104.066111,25.263333,DGO,AM2DR,"Agustín Melgar, Dgo. SMN*",11
-104.7,24,DGO,CAGDR,"Campo Agrícola, Dgo.",0
-104.810278,24.540278,DGO,CBRDR,"Caboraca, Dgo.",18.01
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",7.5
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",12.7
-103.698889,24.871944,DGO,CNCDR,"Cuencamé, Dgo.",8.01
-104.782778,24.518333,DGO,CNTDR,"Canatlán, Dgo.",15.8
-104.599722,24.094722,DGO,DURANGOob,"Observatorio de Durango, Dgo. SMN*",0.6
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",1.5
-103.773611,25.265278,DGO,FZRDR,"Francisco Zarco, Dgo.",29.62
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",40.01
-105.952222,25.934444,DGO,GNCDR,"Guanaceví, Dgo.",71.02
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",2.3
-103.983333,26.549722,DGO,LAFLOR,"La Flor de Jimulco, Dgo. SMN*",13.2
-105.015833,25.594167,DGO,LCRDR,"Lázaro Cárdenas, Dgo.",0
-105.466111,24.185833,DGO,LVEDR,"Las Vegas, Dgo. SMN*",24.32
-103.7475,26.686389,DGO,MAPIMI,"Mapimí, Dgo. SMN*",11.8
-103.85,25.816667,DGO,MPMDR,"Mapimí, Dgo.",17.51
-104.113889,25.225556,DGO,NZSDR,"Nazas, Dgo.",9.11
-104.6,24.1,DGO,OBSDR,"Observatorio de Durango, Dgo.",0.5
-104.656667,24.203889,DGO,PAGDR,"Peña del Aguila, Dgo.",1.61
-104.333056,24.538333,DGO,PDCDR,"Pánuco de Coronado, Dgo.",7.41
-104.558333,25.181944,DGO,RDODR,"Rodeo, Dgo.",19.52
-106.366667,26.133333,DGO,ROSDR,"La Rosilla, Dgo.",33
-104.9,25.75,DGO,RPADR,"Radar Palmito, Dgo.",21
-105.443056,25.225,DGO,SACDR,"Salomé Acosta, Dgo.",28.21
-104.925833,23.824444,DGO,SBBDR,"Santa Bárbara, Dgo.",7.53
-104.675833,23.874444,DGO,SBYDR,"Santiago Bayacora, Dgo.",0.01
-103.353056,24.469167,DGO,SCLDR,"Santa Clara, Dgo.",1
-104.054444,23.623056,DGO,SELDR,"Santa Elena, Dgo.",3.01
-105.560833,26.436667,DGO,SGBDR,"San Gabriel, Dgo.",65
-102.778056,24.630556,DGO,SJGDR,"San Juan de Guadalupe, Dgo.",3.02
-104.276944,25.085,DGO,SLCDR,"San Luis del Cordero, Dgo.",19.01
-105.353333,23.691111,DGO,SLTDR,"El Salto, Dgo.",13.5
-105.366667,25.953333,DGO,SMODR,"Santa María del Oro, Dgo.",49.3
-104.2925,25.564167,DGO,SPGDR,"San Pedro del Gallo, Dgo.",14.51
-105.422222,25.0375,DGO,SPPDR,"Santiago Papasquiaro, Dgo.",7.92
-105.566667,26.084444,DGO,SRDDR,"Sardinas, Dgo.",34
-106.538056,24.702222,DGO,TDRDR,"El Tule del Real, Dgo.",104.7
-103.441667,26.1125,DGO,THODR,"Tlahualilo, Dgo.",10.5
